latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.319859,114.198555,60.0,28800,Asia/Hong_Kong,GMT+8

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),rain_sum (mm),wind_speed_10m_max (m/s),wind_gusts_10m_max (m/s),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),dew_point_2m_mean (°C),dew_point_2m_min (°C),dew_point_2m_max (°C),wind_speed_10m_mean (m/s),wind_speed_10m_min (m/s),winddirection_10m_dominant (°),precipitation_sum (mm),snowfall_sum (cm),pressure_msl_mean (hPa),pressure_msl_max (hPa),pressure_msl_min (hPa),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_gusts_10m_mean (m/s),wind_gusts_10m_min (m/s),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),et0_fao_evapotranspiration_sum (mm)
2022-01-01,16.3,18.8,14.6,15.7,19.2,13.7,0.00,4.00,7.90,63,14.54,2.40,32,96,0,12.9,12.1,13.5,2.95,1.34,63,0.00,0.00,1024.6,1026.5,1022.8,1017.4,1019.3,1015.6,6.42,2.80,81,91,69,2.40
2022-01-02,16.3,20.5,13.1,15.6,20.1,11.2,0.00,3.80,8.30,48,15.89,2.71,4,39,0,11.9,8.4,14.8,2.72,1.46,48,0.00,0.00,1022.9,1024.8,1020.9,1015.7,1017.6,1013.8,5.95,2.80,76,93,57,2.71
2022-01-03,16.8,18.8,15.0,16.4,18.5,14.2,0.00,4.78,10.30,65,15.66,2.34,8,53,0,14.1,13.5,14.9,3.50,1.92,65,0.00,0.00,1021.3,1023.2,1019.4,1014.1,1016.0,1012.2,7.47,4.20,85,93,71,2.34
2022-01-04,17.7,19.8,16.1,16.8,18.6,14.7,0.00,6.28,12.90,68,15.90,2.62,11,57,0,14.2,13.1,16.4,4.47,2.56,68,0.00,0.00,1019.8,1021.4,1018.0,1012.6,1014.3,1010.9,9.36,5.20,81,92,67,2.62
2022-01-05,18.5,21.8,16.8,18.6,22.7,15.9,0.40,5.44,10.50,69,15.00,2.59,22,100,0,15.4,14.9,16.5,3.53,1.49,69,0.40,0.00,1017.5,1018.9,1015.6,1010.4,1011.8,1008.6,7.53,2.80,83,93,67,2.59
2022-01-06,18.5,22.4,15.7,18.2,21.9,14.2,0.00,4.92,10.60,47,15.47,2.75,12,85,0,14.9,12.8,16.4,3.80,1.64,47,0.00,0.00,1019.3,1021.9,1017.5,1012.1,1014.7,1010.3,8.11,3.50,81,93,59,2.75
2022-01-07,17.1,20.4,13.9,16.4,19.4,12.0,0.00,5.50,10.80,55,15.88,2.65,10,40,0,13.5,10.8,15.8,3.80,1.89,55,0.00,0.00,1021.7,1023.6,1019.7,1014.6,1016.4,1012.6,8.30,4.70,80,91,61,2.65
2022-01-08,15.8,18.8,12.5,14.9,18.5,10.3,0.00,3.85,8.60,51,15.78,2.57,11,56,0,11.9,9.5,14.4,2.87,1.24,51,0.00,0.00,1020.7,1022.8,1018.5,1013.5,1015.6,1011.3,6.46,2.90,78,91,64,2.57
2022-01-09,16.7,19.5,14.6,16.4,19.3,13.5,0.20,3.92,8.60,66,13.46,2.21,33,100,0,13.5,10.5,14.5,2.73,1.24,66,0.20,0.00,1018.7,1020.3,1016.8,1011.5,1013.1,1009.7,6.17,3.60,82,94,65,2.21
2022-01-10,16.3,18.7,13.5,15.6,18.5,11.8,0.00,4.85,10.40,59,10.15,1.84,59,100,2,12.9,10.1,14.7,3.22,1.03,59,0.00,0.00,1018.0,1019.4,1016.7,1010.8,1012.2,1009.6,6.92,2.10,80,88,76,1.84
2022-01-11,14.4,17.6,11.4,11.5,16.6,6.8,0.30,7.18,14.50,14,16.42,3.05,39,100,0,8.0,5.9,14.1,4.78,2.06,14,0.30,0.00,1020.7,1022.9,1019.0,1013.4,1015.6,1011.8,10.18,4.40,66,83,49,3.05
2022-01-12,14.6,16.9,12.1,12.3,14.6,8.9,0.00,6.45,13.10,56,8.43,2.03,89,100,58,9.5,5.5,11.8,4.37,2.36,56,0.00,0.00,1021.1,1022.8,1019.8,1013.9,1015.6,1012.5,9.10,5.20,71,78,63,2.03
2022-01-13,16.0,19.2,13.7,14.0,16.9,11.1,0.20,4.39,8.80,23,12.73,2.79,60,100,0,8.5,5.6,11.6,3.15,1.63,23,0.20,0.00,1021.8,1024.0,1019.9,1014.6,1016.8,1012.8,6.87,5.00,62,87,45,2.79
2022-01-14,15.9,18.3,12.8,13.6,16.6,9.7,0.00,7.20,14.30,80,9.50,2.34,66,100,0,10.7,5.4,13.9,4.93,3.52,80,0.00,0.00,1021.0,1023.2,1019.0,1013.7,1016.0,1011.9,10.19,7.70,71,87,57,2.34
2022-01-15,17.0,18.8,15.6,16.1,18.2,13.9,0.00,5.85,12.00,77,13.08,2.11,47,100,0,14.4,13.6,15.3,4.65,2.28,77,0.00,0.00,1020.3,1021.9,1018.7,1013.1,1014.7,1011.6,9.55,5.20,85,91,77,2.11
2022-01-16,17.6,20.0,15.7,17.4,19.7,15.0,0.00,4.90,10.20,66,14.20,2.28,30,100,2,15.1,13.9,16.0,3.53,2.06,66,0.00,0.00,1020.5,1022.0,1018.6,1013.3,1014.8,1011.5,7.38,4.50,86,95,71,2.28
2022-01-17,17.4,20.4,15.9,16.9,21.1,14.3,0.20,5.96,12.20,64,10.24,1.81,77,100,7,14.7,12.8,15.8,3.91,1.30,64,0.20,0.00,1020.6,1022.2,1018.7,1013.5,1015.0,1011.6,8.22,2.40,84,96,67,1.81
2022-01-18,16.1,18.2,13.6,15.3,17.8,11.4,0.00,4.08,8.40,28,8.53,1.77,82,100,1,11.7,9.8,12.5,2.65,1.39,28,0.00,0.00,1021.0,1022.8,1019.0,1013.8,1015.6,1011.9,5.97,3.20,75,84,66,1.77
2022-01-19,15.2,19.4,11.6,14.0,18.7,9.3,0.00,3.98,8.80,33,15.85,2.64,9,69,0,10.7,8.9,12.8,2.90,0.41,33,0.00,0.00,1019.5,1021.4,1017.1,1012.3,1014.2,1010.0,6.51,1.70,75,91,58,2.64
2022-01-20,15.8,19.0,12.5,14.6,17.5,11.4,0.00,5.25,10.50,57,16.27,2.72,30,100,0,11.3,9.0,14.0,3.17,1.60,57,0.00,0.00,1018.5,1020.4,1016.9,1011.3,1013.2,1009.8,7.11,3.70,75,87,59,2.72
2022-01-21,17.0,18.8,15.4,15.4,17.4,13.5,3.30,7.12,14.90,73,13.83,2.37,61,100,1,14.0,12.7,15.5,5.51,3.94,73,3.30,0.00,1017.8,1019.4,1016.2,1010.6,1012.3,1009.0,11.50,8.80,83,97,69,2.37
2022-01-22,16.8,17.9,15.6,15.5,17.3,13.5,1.20,6.86,13.80,75,6.11,1.22,89,100,26,15.0,14.2,15.7,5.58,3.06,75,1.20,0.00,1014.8,1017.2,1012.7,1007.6,1010.0,1005.6,11.24,6.80,89,96,80,1.22
